OBJECTID,FID_XYpicnic,region,site,lat,long,FID_Catchments02,Source,FEATUREID,NextDownID,Shape_Leng,AreaSqKM
1,1,Capital,Picnic 21-2,38.95708,-77.0441,105593,Delineation,2021050021,2021050200,7440,1.5849
2,1,Capital,Picnic 21-1,38.95708,-77.0441,105593,Delineation,2021050021,2021050200,7440,1.5849
