OBJECTID,FID_XYcortland,region,site,lat,long,FID_Catchments05,Source,FEATUREID,NextDownID,Shape_Leng,AreaSqKM
1,0,Canaan,Cortland-1,39.08744,-79.44026,61520,Delineation,205399857,205400057,7800,2.2545
  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
