FID,Id,Site_Name,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_FC
0,0,Alexander Run,48144,19.387832617699999,209054.249241000012262,223559.385244000004604,truncatedFlowlines05
1,0,Bowser-Dung Hill,49005,12.022542591900001,207443.923378000006778,220611.617949000006774,truncatedFlowlines05
2,0,Koch,49936,8.985263765639999,210039.311175999988336,215351.853222000005189,truncatedFlowlines05
3,0,Maynardier Ridge at Bear Hill,49670,2.516975388990000,210675.269934000010835,217141.869269999995595,truncatedFlowlines05
4,0,West Shale North,48476,483.969760165000025,215405.471928000013577,220616.382749000011245,truncatedFlowlines05
