FID,Id,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
0,0,96123,25.371798324899999,222669.265967999992426,221891.612415000010515
1,0,97063,14.619355489200000,220029.776428000011947,217327.725141000002623
2,0,97034,25.525031555300000,216255.665161000011722,219113.181400000001304
3,0,98263,11.756603853100000,222739.598124999989523,212376.446399999986170
