FID,FID_MDE_Sa,Id,Site_Name,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_FC,FID_Catchm,Source,FEATUREID,NextDownID,Shape_Leng,Shape_Area,AreaSqKM
0,2,0,Koch,49936,8.985263765639999,210039.311175999988336,215351.853222000005189,truncatedFlowlines05,49828,Delineation,205388232.000000000000000,205387966.000000000000000,9239.999999989999196,2923200.000000000000000,2.923200000000000
1,3,0,Maynardier Ridge at Bear Hill,49670,2.516975388990000,210675.269934000010835,217141.869269999995595,truncatedFlowlines05,49379,Delineation,205387966.000000000000000,205387529.000000000000000,11940.000000000000000,4586400.000000000000000,4.586400000000000
2,1,0,Bowser-Dung Hill,49005,12.022542591900001,207443.923378000006778,220611.617949000006774,truncatedFlowlines05,48603,Delineation,205387301.000000000000000,205387371.000000000000000,13560.000000000000000,3930300.000000000000000,3.930300000000000
3,4,0,West Shale North,48476,483.969760165000025,215405.471928000013577,220616.382749000011245,truncatedFlowlines05,48518,Delineation,205386772.000000000000000,205386745.000000000000000,7440.000000009999894,1515600.000000000000000,1.515600000000000
4,0,0,Alexander Run,48144,19.387832617699999,209054.249241000012262,223559.385244000004604,truncatedFlowlines05,48279,Delineation,205386440.000000000000000,205386402.000000000000000,10320.000000000000000,2491200.000000000000000,2.491200000000000
