FID,FID_Shenan,Object_ID,POINT_X,POINT_Y,Easting,Northing,Date_,DDLat,DDLon,ORIG_OID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,FID_Catchm,Source,FEATUREID,NextDownID,Shape_Leng,Shape_Area,AreaSqKM
0,54,RGH1U1,-78.989900000000006,37.885550000000002,676750,4194800,20-Jun-12,37.88554249N,078.98989716W,54,137571,0.010368734362200,-78.998326887000005,37.879505075099999,137257,Delineation,2021081654.000000000000000,2021081660.000000000000000,6720.000000000000000,928800.000001000007614,0.928800000001000
1,68,WRH1U2,-79.042900000000003,37.900869999999998,672051,4196401,19-Jun-12,37.90086249N,079.04289715W,68,137047,0.005742146164730,-79.037167655299996,37.901243500900001,136882,Delineation,2021081491.000000000000000,2021081166.000000000000000,9720.000000010000804,2647800.000000000000000,2.647800000000000
2,67,WRH1U1,-79.039000000000001,37.901829999999997,672394,4196515,19-Jun-12,37.90182249N,079.03899715W,67,137047,0.001885560574480,-79.037147736300000,37.901455049299997,136882,Delineation,2021081491.000000000000000,2021081166.000000000000000,9720.000000010000804,2647800.000000000000000,2.647800000000000
3,0,BMT1U1,-79.075299999999999,37.920299999999997,669158,4198498,18-Jun-12,37.92029249N,079.07529714W,0,136612,0.001628217117140,-79.076832269099995,37.919749851100001,136527,Delineation,2021081056.000000000000000,2021080840.000000000000000,9840.000000010000804,2245500.000000000000000,2.245500000000000
4,1,BMT1U2,-79.072100000000006,37.920360000000002,669436,4198510,18-Jun-12,37.92035249N,079.07209714W,1,136612,0.004773327005480,-79.076832269099995,37.919749851100001,136527,Delineation,2021081056.000000000000000,2021080840.000000000000000,9840.000000010000804,2245500.000000000000000,2.245500000000000
5,27,MRC3ML,-78.782600000000002,38.146850000000001,694290,4224210,27-Jun-12,38.14684243N,078.78259721W,27,129920,0.002533898384410,-78.785062651399997,38.147427452300001,130013,Delineation,2021074364.000000000000000,2021074305.000000000000000,4740.000000000000000,867600.000000000000000,0.867600000000000
6,24,MRC2NL,-78.786600000000007,38.149729999999998,693925,4224521,14-Jun-12,38.14972243N,078.78659721W,24,129862,0.000096588061934,-78.786588291399994,38.149818607699999,129993,Delineation,2021074306.000000000000000,2021074305.000000000000000,4380.000000009999894,778500.000001000007614,0.778500000001000
7,25,MRC2SL,-78.787000000000006,38.149850000000001,693898,4224534,14-Jun-12,38.14984243N,078.78699721W,25,129862,0.000034696921297,-78.786992001200005,38.149876736000003,129961,Delineation,2021074305.000000000000000,2021074206.000000000000000,8459.999999989999196,1516500.000000000000000,1.516500000000000
8,26,MRC2SU,-78.787000000000006,38.149850000000001,693898,4224534,14-Jun-12,38.14984243N,078.78699721W,26,129862,0.000034696921297,-78.786992001200005,38.149876736000003,129961,Delineation,2021074305.000000000000000,2021074206.000000000000000,8459.999999989999196,1516500.000000000000000,1.516500000000000
9,33,NFMTL1,-78.753000000000000,38.170569999999998,696819,4226905,2-Jul-12,38.17056243N,078.75299722W,33,129331,0.000198770274665,-78.753024392300006,38.170365522600001,129372,Delineation,2021073775.000000000000000,2021074456.000000000000000,10380.000000000000000,3632400.000000000000000,3.632400000000000
10,34,NFMTL2,-78.755399999999995,38.170839999999998,696604,4226930,2-Jul-12,38.17083243N,078.75539722W,34,129331,0.000130906919365,-78.755415674199995,38.170702827400000,129372,Delineation,2021073775.000000000000000,2021074456.000000000000000,10380.000000000000000,3632400.000000000000000,3.632400000000000
11,23,MRC1ML,-78.791899999999998,38.172300000000000,693408,4227015,24-Jul-12,38.17229243N,078.79189721W,23,129536,0.000104806604332,-78.791946593700004,38.172384869299997,129465,Delineation,2021073980.000000000000000,2021074037.000000000000000,4980.000000009999894,746999.999998999992386,0.746999999999000
12,6,BRC1WL,-78.701700000000002,38.258609999999997,701070,4236786,13-Jun-12,38.25860241N,078.70169723W,6,126972,0.000239383333044,-78.701931338300000,38.258552432199998,127005,Delineation,2021071416.000000000000000,2021071311.000000000000000,7260.000000000000000,2045700.000000000000000,2.045700000000000
