"","UnitName","PointName","Latitude","Longitude","SDate"
"77","Prince William Forest National Park","PRW262-2",38.5895166,-77.3684166,"6/14/06"
"78","Prince William Forest National Park","PRW262-3",38.5901,-77.3672333,"6/14/06"
"79","Prince William Forest National Park","PRW262-4",38.5901,-77.3672333,"6/14/06"
"80","Prince William Forest National Park","PRW263-1",38.5943333,-77.3683333,"6/14/06"
"81","Prince William Forest National Park","PRW263-2",38.5943333,-77.3683333,"6/14/06"
"82","Prince William Forest National Park","PRW263-3",38.5928055,-77.36725,"6/14/06"
"83","Prince William Forest National Park","PRW263-4",38.5928055,-77.36725,"6/14/06"
"84","Prince William Forest National Park","PRW263-A1",38.5926944,-77.3691944,"7/19/06"
"85","Prince William Forest National Park","PRW263-A2",38.5926944,-77.3691944,"7/19/06"
"86","Prince William Forest National Park","PRW301-1R",38.6018055,-77.3577777,"6/22/06"
"87","Prince William Forest National Park","PRW301-2L",38.6018055,-77.3577777,"6/22/06"
"88","Prince William Forest National Park","PRW301-3R",38.6013055,-77.3587777,"6/22/06"
"89","Prince William Forest National Park","PRW301-4L",38.6013055,-77.3587777,"6/22/06"
"90","Prince William Forest National Park","PRW314-1R",38.60705,-77.3726666,"6/23/06"
"91","Prince William Forest National Park","PRW314-2L",38.60705,-77.3726666,"6/23/06"
"92","Prince William Forest National Park","PRW314-3L",-99,-99,"6/23/06"
"93","Prince William Forest National Park","PRW314-4R",-99,-99,"6/23/06"
"94","Prince William Forest National Park","PRW315-1L",38.6089166,-77.37115,"6/23/06"
"95","Prince William Forest National Park","PRW315-2R",38.6089166,-77.37115,"6/23/06"
"96","Prince William Forest National Park","PRW315-3L",38.6079333,-77.37085,"6/23/06"
"97","Prince William Forest National Park","PRW315-4R",38.6079333,-77.37085,"6/23/06"
"98","Prince William Forest National Park","PRW331-1R",38.5914166,-77.3515,"6/22/06"
"99","Prince William Forest National Park","PRW331-2L",38.5914166,-77.3515,"6/22/06"
"100","Prince William Forest National Park","PRW331-3L",38.5905277,-77.3518333,"6/22/06"
"101","Prince William Forest National Park","PRW331-4L",38.5905277,-77.3518333,"6/22/06"
"102","Prince William Forest National Park","PRW370-1",38.5764333,-77.3607333,"6/15/06"
"103","Prince William Forest National Park","PRW370-2",38.5764333,-77.3607333,"6/15/06"
"104","Prince William Forest National Park","PRW370-3",38.5759833,-77.3594166,"6/15/06"
"105","Prince William Forest National Park","PRW370-4",38.5759833,-77.3594166,"6/15/06"
"106","Prince William Forest National Park","PRW371-1",38.5768166,-77.35755,"6/15/06"
"107","Prince William Forest National Park","PRW371-2",38.5768166,-77.35755,"6/15/06"
"108","Prince William Forest National Park","PRW371-3",38.5760333,-77.3571333,"6/15/06"
"109","Prince William Forest National Park","PRW371-4",38.5760333,-77.3571333,"6/15/06"
"110","Prince William Forest National Park","PRW424-1L",38.58436114,-77.40938894,"6/22/06"
"111","Prince William Forest National Park","PRW424-2R",-99,-99,"6/22/06"
"112","Prince William Forest National Park","PRW424-3L",-99,-99,"6/22/06"
"113","Prince William Forest National Park","PRW424-4R",-99,-99,"6/22/06"
"114","Prince William Forest National Park","PRW516-1L",38.6149,-77.4310666,"6/21/06"
"115","Prince William Forest National Park","PRW516-2R",38.6149,-77.4310666,"6/21/06"
"116","Prince William Forest National Park","PRW516-3L",38.6139666,-77.3809333,"6/21/06"
"117","Prince William Forest National Park","PRW516-4R",38.6139666,-77.3809333,"6/21/06"
"118","Rock Creek National Park","16th St (Holly)-1",38.9794444,-77.0377778,"6/23/05"
"119","Rock Creek National Park","16th St (Holly)-2",38.9794444,-77.0377777,"7/18/05"
"120","Rock Creek National Park","16th St (Holly)-3",38.9791657,-77.0388333,"6/2/05"
"121","Rock Creek National Park","16th St (Holly)-4",38.9791666,-77.0388333,"6/23/05"
"122","Rock Creek National Park","Fairway18-1",34.5730555,-77.0417221,"6/23/05"
"123","Rock Creek National Park","Fairway18-2",38.9655,-77.0417222,"6/23/05"
"124","Rock Creek National Park","Fairway18-3",38.9645,-77.0438888,"6/23/05"
"125","Rock Creek National Park","Fairway18-4",38.9645,-77.0438888,"6/23/05"
"126","Rock Creek National Park","Fairway18-5",38.9642222,-77.0459167,"6/23/05"
"127","Rock Creek National Park","Picnic 21-1",38.4570833,-77.0440833,"6/27/05"
"128","Rock Creek National Park","Picnic 21-2",38.4570833,-77.0440833,"6/27/05"
"129","Rock Creek National Park","Picnic 21-3",38.95675,-77.0426944,"6/27/05"
"130","Rock Creek National Park","Riley Spring 2-1",38.9774166,-77.0454166,"6/24/05"
"131","Rock Creek National Park","Riley Spring 2-2",38.9774166,-77.0454166,"6/24/05"
"132","Rock Creek National Park","Riley Spring 2-3",38.9773888,-77.0435278,"6/24/05"
"133","Rock Creek National Park","Riley Spring 2-4",38.9773888,-77.0435278,"6/24/05"
"134","Rock Creek National Park","West Spring-1",38.9544444,-77.0533333,"6/24/05"
"135","Rock Creek National Park","West Spring-2",38.9544444,-77.0533333,"6/24/05"
"136","Rock Creek National Park","West Spring-3",38.95375,-77.05475,"6/24/05"
"137","Rock Creek National Park","West Spring-4",38.95375,-77.05475,"6/24/05"
