transect,lat,lon
Mill,39.56176375,-79.0626727
ElkLick,39.60577397,-79.09581715
PopLick,39.62091108,-79.13989835
BlueLick,39.64740331,-79.0658406
Koch,39.58597476,-79.2113589
Maynardier Ridge at Bear Hill,39.6021606,-79.20446051
Bowser-Dung Hill,39.63263986,-79.24296308
West Shale North,39.63547038,-79.14490145
Alexander Run,39.6597415,-79.22509065
