"","transect","lat","lon"
"138","West Spring-4",38.95375,-77.05475
"139","BMT1U1",37.9203,-79.0753
"140","BMT1U2",37.92036,-79.0721
"141","BRC1DS",38.259,-78.7022
"142","BRC1EL",38.25881,-78.7017
"143","BRC1WL",38.25861,-78.7017
"144","BRC4ML",38.26143,-78.7022
"145","BRC4TL",38.26129,-78.7021
"146","CCC1ML",38.60161,-78.3333
"147","CCC1TL",38.6016,-78.3329
"148","FireRoadSite",38.5333,-78.4223
"149","HRC2EL",38.60798,-78.3167
"150","HRC2EU",38.60857,-78.3146
"151","HRC2WL",38.60784,-78.3167
"152","HRC2WU",38.60969,-78.3169
"153","HRMC1",38.58465,-78.311
"154","HRMC2",38.58736,-78.3131
"155","JRC1DS",38.71212,-78.3431
"156","MPC1DS",38.50317,-78.4376
"157","MRC1ML",38.1723,-78.7919
"158","MRC2NL",38.14973,-78.7866
"159","MRC2SL",38.14985,-78.787
"160","MRC2SU",38.14985,-78.787
"161","MRC3ML",38.14685,-78.7826
"162","NCC1U1",38.49318,-78.459
"163","NCC1U2",38.49318,-78.459
"164","NCC1W1",38.49356,-78.4593
"165","NCC1W2",38.49378,-78.4594
"166","NFMTL1",38.17057,-78.753
"167","NFMTL2",38.17084,-78.7554
"168","PARC1NL",38.65613,-78.3368
"169","PARC1SL",38.65609,-78.3368
"170","PARU1",38.65702,-78.3328
"171","PARU2",38.65698,-78.3322
"172","Piney River Headwater 1",38.75787,-78.2729
"173","PR150",38.75787,-78.2729
"174","PRC1E",38.74584,-78.2809
"175","PRC1EL",38.74584,-78.2809
"176","PRC1WL",38.74584,-78.2809
"177","PRC2E",38.72027,-78.2809
"178","PRC3DS",38.72027,-78.2809
"179","PRC3TL",38.72027,-78.2809
"180","PRDS1K",38.73975,-78.2885
"181","RGH1U1",37.88555,-78.9899
"182","RMRTN",38.26143,-78.7022
"183","RMRTS",38.26129,-78.7021
"184","RRC1DS",38.5185,-78.4241
"185","RRC1EL",38.51729,-78.4246
"186","RRC1EU",38.51756,-78.4257
"187","RRC1NM",38.51976,-78.4271
"188","RRC4ML",38.52598,-78.407
"189","RRC4TL",38.52578,-78.4068
"190","WRH1U1",37.90183,-79.039
"191","WRH1U2",37.90087,-79.0429
"192","Alexander Run",39.6597415,-79.22509065
"193","BlueLick",39.64740331,-79.0658406
"194","Bowser-Dung Hill",39.63263986,-79.24296308
"195","ElkLick",39.60577397,-79.09581715
"196","Koch",39.58597476,-79.2113589
"197","Maynardier Ridge at Bear Hill",39.6021606,-79.20446051
"198","Mill",39.56176375,-79.0626727
"199","PopLick",39.62091108,-79.13989835
"200","West Shale North",39.63547038,-79.14490145
