Date,Stream,Transect,Visit,Section,Wetted,Depth,
2018-07-05,KOCH,5D,2,0,NA,NA,
2018-07-05,KOCH,5D,2,12.5,NA,NA,
2018-07-05,KOCH,5D,2,25,NA,NA,
2018-07-09,KOCH,2D,2,0,3.6,23.0,
2018-07-09,KOCH,2D,2,12.5,3.0,13.0,
2018-07-09,KOCH,2D,2,25,3.3,55.0,
2018-07-09,KOCH,3D,3,0,3.3,13.5,
2018-07-09,KOCH,3D,3,12.5,1.7,15.5,
2018-07-09,KOCH,3D,3,25,1.9,25.5,
2018-07-09,KOCH,4D,3,0,2.6,40.0,
2018-07-09,KOCH,4D,3,12.5,1.7,9.5,
2018-07-09,KOCH,4D,3,25,2.7,6.0,
2018-07-09,KOCH,5D,3,0,4.2,41.5,
2018-07-09,KOCH,5D,3,12.5,3.6,9.0,
2018-07-09,KOCH,5D,3,25,3.7,12.5,
2018-07-10,KOCH,1D,2,0,3.6,14.0,
2018-07-10,KOCH,1D,2,12.5,3.4,8.0,
2018-07-10,KOCH,1D,2,25,3.6,16.0,
2018-07-10,KOCH,1U,2,0,5.5,15.0,
2018-07-10,KOCH,1U,2,12.5,6.0,14.0,
2018-07-10,KOCH,1U,2,25,3.3,14.0,
2018-07-10,KOCH,2D,3,0,3.8,13.5,
2018-07-10,KOCH,2D,3,12.5,3.2,16.5,
2018-07-10,KOCH,2D,3,25,3.3,49.0,
2018-07-10,KOCH,2U,2,0,NA,12.0,
2018-07-10,KOCH,2U,2,12.5,6.7,17.0,
2018-07-10,KOCH,2U,2,25,2.5,12.5,
2018-07-10,KOCH,3D,4,0,3.1,12.0,
2018-07-10,KOCH,3D,4,12.5,1.8,21.5,
2018-07-10,KOCH,3D,4,25,2.3,26.0,
2018-07-10,KOCH,4D,4,0,2.6,40.5,
2018-07-10,KOCH,4D,4,12.5,1.7,10.0,
2018-07-10,KOCH,4D,4,25,3.1,8.5,
2018-07-10,KOCH,5D,4,0,3.4,40.0,
2018-07-10,KOCH,5D,4,12.5,3.6,9.0,
2018-07-10,KOCH,5D,4,25,3.9,14.0,
2018-07-12,ALEX,1D,1,0,NA,NA,
2018-07-12,ALEX,1D,1,12.5,NA,NA,
2018-07-12,ALEX,1D,1,25,NA,NA,
2018-07-12,ALEX,2D,1,0,NA,NA,
2018-07-12,ALEX,2D,1,12.5,NA,NA,
2018-07-12,ALEX,2D,1,25,NA,NA,
